name,m1_solar,m2_solar,a_au,e,spin_angle_deg,radius_m
Gaia_3107638400374273024,1.500000,1.436233,0.021608,0.000000,0.000000,962680659.586924
Gaia_6757647774847444992,2.000000,1.275372,0.023025,0.000000,0.000000,1211806384.108205
Gaia_4552730312324984832,1.500000,0.333784,0.019549,0.000000,0.000000,962680659.586924
Gaia_1736448891157973504,2.000000,1.973494,0.028486,0.000000,0.000000,1211806384.108205
Gaia_3041948353046852096,2.000000,1.033830,0.053675,0.033228,0.000000,1211806384.108205
Gaia_861690393720718720,2.000000,0.588918,0.020595,0.034379,0.000000,1211806384.108205
Gaia_4945122200976654336,1.500000,0.201009,0.017858,0.000000,0.000000,962680659.586924
Gaia_5445295160055326720,1.500000,1.495283,0.047434,0.000000,97.247771,962680659.586924
Gaia_2018396864036695552,1.500000,0.584354,0.015240,0.000000,0.000000,962680659.586924
Gaia_521495758012144512,1.500000,0.295328,0.015987,0.000000,0.000000,962680659.586924
Gaia_5055021961585684480,1.500000,0.354661,0.024599,0.000000,0.000000,962680659.586924
Gaia_6513066498474899456,1.500000,0.201079,0.020607,0.000000,0.000000,962680659.586924
Gaia_4530418472614781952,1.500000,0.160498,0.024932,0.000000,0.000000,962680659.586924
Gaia_3598527804810669056,1.500000,0.483453,0.022576,0.000000,0.000000,962680659.586924
Gaia_2862908483778179072,1.500000,0.216488,0.015605,0.000000,0.000000,962680659.586924
Gaia_1272944026393512960,1.500000,0.256367,0.019081,0.000000,0.000000,962680659.586924
Gaia_5544642667061227520,2.000000,0.896639,0.024229,0.000000,0.000000,1211806384.108205
Gaia_1362628612889878528,2.000000,0.998245,0.029324,0.000000,0.000000,1211806384.108205
Gaia_4889204372482883584,1.500000,0.431898,0.018073,0.000000,0.000000,962680659.586924
Gaia_6267913819672876032,2.000000,0.574470,0.023057,0.000000,0.000000,1211806384.108205
Gaia_4853977085080563712,1.500000,0.307642,0.014839,0.000000,0.000000,962680659.586924
Gaia_1966177208541367808,2.000000,0.528719,0.025788,0.000000,0.000000,1211806384.108205
Gaia_5272868887594862592,1.500000,0.367288,0.046662,0.000000,0.000000,962680659.586924
Gaia_1395630488757076992,1.500000,0.202327,0.014370,0.000000,0.000000,962680659.586924
Gaia_199909738127030784,2.000000,0.603721,0.028857,0.000000,0.000000,1211806384.108205
Gaia_6491044070846198784,1.500000,0.105826,0.020723,0.000000,0.000000,962680659.586924
Gaia_6073040192709708800,1.500000,0.100304,0.023034,0.000000,0.000000,962680659.586924
Gaia_1866749024880062464,2.000000,0.580869,0.029347,0.000000,0.000000,1211806384.108205
Gaia_4305735951544368128,1.500000,0.643106,0.020805,0.000000,0.000000,962680659.586924
Gaia_5819358258602547200,1.500000,0.592084,0.016711,0.000000,0.000000,962680659.586924
